Lemma in PROIEL	Manually checked	Lemma in Forcellini	POS	Info	Code (11 = a, ae; 12 = us, 21: a, us, i)	Texte	OCR Correction		
Aaron	y	Aaron	NOMpro	(Indecl)					Aaron
Abaddon	y	Abaddon	NOMpro	(Indecl)					Abaddon
Abba	y	Abba	NOMpro	(Indecl)		Person: Indecl, Place in spain: ae, f			Abba
Abel	y	Abel	NOMpro	(Indecl)					Abel
Abia	y	Abia	NOMpro	(Indecl)					Abia
Abiathar	y	Abiathar	NOMpro	(Indecl)					Abiathar
Abilina	y	Abilina	NOMpro	, ae, m.	11	Cf. Abilene, es, f			Abilina
Abiud	y	Abiud	NOMpro	(Indecl)					Abiud
Abraham	y	Abraham	NOMpro	(Indecl)					Abraham
Absinthius	y	absinthium	NOMcom	, ii, m.	12				Absinthius
Achaz	y	Achaz	NOMpro	(Indecl)					Achaz
Acheldemach	y	Haceldama	NOMpro	(Indecl)		Information incomplete, crossref in Onom Headword "Ager" but no headword Haceldama in DLD			Acheldemach
Achim	y	Achim	NOMpro	(Indecl)					Achim
Adam	y	Adam	NOMpro	(Indecl)					Adam
Addi	y	Abdi	NOMpro	(Indecl)		Var. Addi.			Addi
Aenon	y	Aennon	NOMpro	(Indecl)		Var. AEnon/Ennon/Enon			Aenon
Aethiopus	y	Aethiopus	NOMpro	, i, m.	12				Aethiopus
Agabus	y	Agabus	NOMpro	, i, m.	12				Agabus
Agar	y	Agar	NOMpro	(Indecl)					Agar
Aminadab	y	Aminadab	NOMpro	(Indecl)					Aminadab
Amon	y	Ammon	NOMpro	, onis, m.	13	Var. Amon			Amon
Amos	y	Amos	NOMpro	(Indecl)					Amos
Ampliatus	y	Ampliatus	NOMpro	, ii, m.	12				Ampliatus
Ananias	y	Ananias	NOMpro	, ae, m.	11				Ananias
Andreas	y	Andreas	NOMpro	, ae, m.	11				Andreas
Annas	y	Annas	NOMpro	, ae, m.	11				Annas
Antiochea	y	Antiochia	NOMpro	, ae, f.	11				Antiochea
Antiochenus	y	Antiochenus	ADJqua	, a, um	21				Antiochenus
Antipas	y	Antipa	NOMpro	, ae, m.	11				Antipas
Antipatris	y	Antipatris	NOMpro	, idis, f.	13				Antipatris
Apollyon	y	Apollyon	NOMpro	, ontis, m.	13				Apollyon
Appolo	y	Apollo2	NOMpro	(Indecl)		(Ἀπολλῶς) vir Alexandrinus			Appolo
Aquila	y	Aquila	NOMpro	, ae, f.	11				Aquila
Aram	y	Aram	NOMpro	(Indecl)					Aram
Aretas	y	Aretas	NOMpro	, ae, m.	11				Aretas
