PROIEL	Checked	LASLA	POS	Info	Code	Texte	Var	Occs	Formes
centum.quadraginta.quattuor	card		ADJcar					4	centum.quadraginta.quattuor
centum.quinquaginta.tres	card		ADJcar					1	centum.quinquaginta.tribus
centum.uiginti	card		ADJcar					1	centum.uiginti
mille.ducenti.sexaginta	card		ADJcar					2	mille.ducentis.sexaginta
mille.sescenti	card		ADJcar					1	mille.sescenta
octoginta.quattuor	card		ADJcar					1	octoginta.quattuor
quadraginta.duo	card		ADJcar					2	quadraginta.duo, quadraginta.duobus
septuaginta.duo	CARD		ADJcar					2	septuaginta.duos, septuaginta.duo
sescenti.sexaginta.sex	CARD		ADJcar					1	sescenti.sexaginta.sex
uiginti.quattuor	CARD		ADJcar					4	uiginti.quattuor
uiginti.quinque	CARD		ADJcar					1	uiginti.quinque
bini	y	binus	ADJdis	, ae, a				3	binos, binas
centeni	y	centeni	ADJdis	, ae, a	21			1	centenos
sexagensimus	CARD	sexagesimus	ADJord					1	sexagesimum
africus	y	Africus	ADJqua	, a, um	23			1	africum
animaequus	y	animaequus	ADJqua	, a, um	21			2	animaequior, animaequiores
arcarius	y	arcarius	ADJqua	, a, um	21			1	arcarius
azyma	y	azymus	ADJqua	, a, um	21			7	azymis, azymorum, azyma
azymum	y	azymus	ADJqua	, a, um	21			1	azymorum
azymus	y	azymus	ADJqua	, a, um	21			1	azymi
bithalassus	y	bithalassus	ADJqua	, a, um	21	Abs. Forc. In Blaise Patristic		1	bithalassum
carcedonius	y	carchedonius	ADJqua	, a, um	21		charchedonius/carcedonius	1	carcedonius
centuplus	y	centuplus	ADJqua	, a, um	21			1	centuplum
chananeus	y	chananeus	ADJqua	, a, um	21			1	chananea
cilicinus	y	cilicinus	ADJqua	, a, um	21			1	cilicinus
circumamictus	y	circumamictus	ADJqua	, a, um	21			1	circumamictos
coccinum	y	coccinus	ADJqua	, a, um	21			1	coccino
coinquinatus	y	coinquinatus	ADJqua	, a, um	21			1	coinquinatis
collactaneus	y	collactaneus	ADJqua	, a, um	21		conlactaneus	1	conlactaneus
concaptiuus	y	concaptiuus	ADJqua	, a, um	21			2	concaptiuos, concaptiuus
coriarius	y	coriarius	ADJqua	, a, um	21			3	coriarii, coriarium
cottidianus	y	quotidianus	ADJqua	, a, um	21		cotidianus/quottidianus/cottidianus	3	cotidianum, cotidiano, cotidiana
dealbatus	y	dealbatus	ADJqua	, a, um	21			1	dealbate
domestici	y	domesticus	ADJqua	, a, um	21			5	domestici, domesticos
epicureus	y	epicureus	ADJqua	, a, um	21	In Forc. Onom.	epucereius/epicurius	1	epicurei
ethnicus	y	ethnicus	ADJqua	, a, um	21			3	ethnici, ethnicus
exfornicatus	y	exfornicatus	ADJqua	, a, um	21			1	exfornicatae
extremum	y	exter	ADJqua	, a, um	21			3	extremum, extremis
galaticus	y	galaticus	ADJqua	, a, um	21			1	galaticam
hadrumentinus	y	hadrumetinus	ADJqua	, a, um	21	Cf. Hadrumetum	hadrumentinus/adrumentinus	1	hadrumetinam
haereticus	y	haereticus	ADJqua	, a, um	21			1	hereticum
hordiacius	y	hordeaceus	ADJqua	, a, um	21		ordeaceus/ordiacius/hordiacius	2	hordiaciis, hordiacios
idolothytum	y	idolothytus	ADJqua	, a, um	21			1	idolothytis
idolothytus	y	idolothytus	ADJqua	, a, um	21			2	idolothytum, idolothyta
immaculatus	y	immaculatus	ADJqua	, a, um	21		inmaculatus	3	inmaculati, inmaculatos, inmaculata
immolaticius	y	immolaticius	ADJqua	, a, um	21		inmolaticius/inmolatitius	1	immolaticium
inaquosus	y	inaquosus	ADJqua	, a, um	21			1	inaquosa
incircumcisus	y	incircumcisus	ADJqua	, a, um	21			1	incircumcisi
inimica	y	inimicus2	ADJqua	, a, um	21			1	inimica
insensatus	y	insensatus	ADJqua	, a, um	21			1	insensati
iudaicus	y	iudaicus	ADJqua	, a, um	21		iudaeicus	1	iudaicis
leprosus	y	leprosus	ADJqua	, a, um	21			9	leprosi, leprosus, leprosos
longeuus	y	longaeuus	ADJqua	, a, um	21		longeuus	1	longeuus
lunaticus	y	lunaticus	ADJqua	, a, um	21			1	lunaticos
manufactus	y	manufactus	ADJqua	, a, um	21			6	manufactum, manufactis, manufactam, manufacta
momentaneus	y	momentaneus	ADJqua	, a, um	21			1	momentaneum
murratus	y	myrrhatus	ADJqua	, a, um	21		myrratus/murrhatus/murratus	1	murratum
nouissimus	y	nouus	ADJqua	, a, um	21			43	nouissima, nouissimis, nouissimo, nouissimum, nouissimos, nouissimi, nouissimus
orphanus	y	orphanus	ADJqua	, a, um	21		orfanus	1	orfanos
pellicius	y	pellicius	ADJqua	, a, um	21		pelliceus	2	pellicia, pelliciam
perlucidus	y	pellucidus	ADJqua	, a, um	21		perlucidus	1	perlucidum
petrosa	y	petrosus	ADJqua	, a, um	21			4	petrosa
pisticus	y	pisticus	ADJqua	, a, um	21			1	pistici
primitiuus	y	primitiuus	ADJqua	, a, um	21			1	primitiuus
primogenitus	y	primogenitus	ADJqua	, a, um	21			6	primogenitum, primogenitus
probaticus	y	probaticus	ADJqua	, a, um	21			1	Probatica
prosperus	y	prosper	ADJqua	, a, um	21		prosperus	1	prosperum
quadriduanus	y	quatriduanus	ADJqua	, a, um	21		quadriduanus	1	quadriduanus
quadrupedius	y	quadrupedus	ADJqua	, a, um	21		quadripedus/quadrupedius	1	quadrupedia
quadruplus	y	quadruplus	ADJqua	, a, um	21			1	quadruplum
quantus	y	quantus	ADJqua	, a, um	21			18	quanti, quantae, quanta, quantus, quantum, quantis, quantam
reprobus	y	reprobus	ADJqua	, a, um	21			6	reprobum, reprobus, reprobi
